0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Study,Treatment,Virus,VirusID,AssayID,Lab,Poscrit,VRC01.23LS 0.5mg/ml,VRC01.23LS 0.1mg/ml,PGT151,VRC34.01 ,CAP248-2B,ACS202,VRC01,CH01-31,PGT151_4A/293i,CH235.12,VRC34.01,1-18,VRC01.23LS
H704,a,H704_2065_060_RE_p001s,AMP310,TP02-212,a,50%,0.028,,>25,>25,>25,>25,0.294,,,,,,
H704,a,H704_2065_060_RE_p002s,AMP197,TP02-176,a,50%,0.037,,>25,>25,>25,>25,0.364,,,,,,
H704,a,H704_2541_080_RE_p001s,AMP201,TP02-177,a,50%,0.033,,0.033,0.755,>25,>25,0.43,,,,,,
H704,a,H704_2684_181_RE_p001s,AMP205,TP02-178,a,50%,0.014,,>25,>25,>25,0.913,0.101,,,,,,
H704,a,H704_2981_150_RE_p001s_2559A,AMP206,TP02-179,a,50%,0.942,,>25,24.65,>25,>25,4.249,,,,,,
H704,a,H704_2981_150_RE_p002s_2559A,AMP207,TP02-180,a,50%,0.304,,>25,16.439,>25,>25,2.498,,,,,,
H704,a,H704_2544_150_RE_p001s,AMP208,TP02-181,a,50%,0.18,,>25,>25,>25,>25,1.301,,,,,,
H704,a,H704_1930_170_RE_c01s_1523A,AMP212,TP02-182,a,50%,0.013,,>25,>25,>25,>25,0.062,,,,,,
H704,a,H704_1930_170_RE_c02s_1523G,AMP213,TP02-183,a,50%,0.023,,>25,>25,>25,>25,0.202,,,,,,
H704,a,H704_0445_180_RE_con_s,AMP218,TP02-184; TP02-210,a,50%,0.021,,0.083,>25,>25,0.08,>25,,,,,,
H704,a,H704_2555_240_RE_con_s_vpuG,AMP222,TP02-185,a,50%,0.033,,>25,2.808,>25,0.151,0.194,,,,,,
H704,a,H704_2834_210_RE_pb001_s,AMP223,TP02-186,a,50%,0.073,,>25,0.922,>25,>25,2.203,,,,,,
H704,a,H704_2834_210_RE_pb002_s,AMP224,TP02-187,a,50%,0.088,,>25,1.179,>25,>25,1.989,,,,,,
H704,a,H704_0128_220_RE_pb001_s,AMP228,TP02-188; TP02-211,a,50%,0.011,,>25,0.194,0.017,22.918,0.102,,,,,,
H704,a,H704_0856_240_RE_pb001_s,AMP229,TP02-189,a,50%,0.055,,1.04,7.845,>25,>25,0.41,,,,,,
H704,a,H704_0886_250_RE_p001s,AMP237,TP02-190,a,50%,0.099,,>25,>25,>25,0.498,1.282,,,,,,
H704,a,H704_2541_080_RE_p003s,AMP243,TP02-191,a,50%,0.018,,0.168,2.872,>25,>25,0.255,,,,,,
H704,a,H704_0026_231_RE_pbsga001_s,AMP245,TP02-192,a,50%,0.088,,>25,>25,>25,>25,0.401,,,,,,
H704,a,H704_0513_150_RE_pblib003_s,AMP247,TP02-193,a,50%,0.354,,0.047,1.468,>25,>25,1.514,,,,,,
H704,a,H704_1180_070_RE_pblib027_s,AMP251,TP02-194,a,50%,0.009,,0.009,0.683,>25,0.388,0.172,,,,,,
H704,a,H704_1528_240_RE_pblib_001_s,AMP253,TP02-195,a,50%,0.114,,1.418,0.04,1.15,0.041,2.14,,,,,,
H704,a,H704_2684_181_RE_pblib006_s,AMP258,TP02-196,a,50%,0.012,,>25,>25,>25,0.97,0.132,,,,,,
H704,a,H704_2981_150_RE_pblib003_s,AMP262,TP02-197,a,50%,0.178,,>25,>25,>25,>25,1.713,,,,,,
H704,a,H704_2981_150_RE_pblib005_s,AMP263,TP02-198,a,50%,0.102,,>25,9.095,>25,>25,2.629,,,,,,
